"id","company","type_name","inches","screen_resolution","cpu","ram_gb","total_memory","gpu","operating_system","weight_kg","price","cpu_speed_GHz","ssd_memory","hdd_memory","flash_memory"
305,"Asus","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10",2.5,67399.2,2.8,"128GB SSD","1TB HDD",""
306,"Lenovo","Notebook",15.6,"1366x768","Intel Pentium Quad Core N4200 1.1GHz",4,"1TB HDD","Intel HD Graphics 505","",2.2,19180.2672,1.1,"","1TB HDD",""
307,"HP","2 in 1 Convertible",13.3,"Full HD / Touchscreen 1920x1080","Intel Core i7 7600U 2.8GHz",16,"256GB SSD","Intel HD Graphics 620","Windows 10",1.28,105228.0,2.8,"256GB SSD","",""
308,"Toshiba","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 6500U 2.5GHz",8,"256GB SSD","Nvidia GeForce 930M","Windows 10",2.2,55571.04,2.5,"256GB SSD","",""
309,"Lenovo","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"128GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows 10",2.3,43636.32,2.5,"128GB SSD","1TB HDD",""
310,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"1TB HDD","Intel HD Graphics 520","Windows 10",1.86,24988.32,2.0,"","1TB HDD",""
311,"Lenovo","Notebook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.1,53226.72,2.5,"256GB SSD","",""
312,"Dell","Ultrabook",13.3,"IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 8550U 1.8GHz",16,"1TB SSD","Intel UHD Graphics 620","Windows 10",1.21,133146.72,1.8,"1TB SSD","",""
313,"MSI","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10",2.8,111834.72,2.8,"256GB SSD","1TB HDD",""
314,"Acer","Notebook",15.6,"Full HD 1920x1080","AMD A8-Series 7410 2.2GHz",8,"256GB SSD","AMD Radeon R5","Windows 10",2.23,24988.32,2.2,"256GB SSD","",""
315,"Asus","2 in 1 Convertible",11.6,"Touchscreen 1366x768","Intel Celeron Dual Core N3350 1.1GHz",2,"32GB Flash Storage","Intel HD Graphics 500","Windows 10",1.1,14652.0,1.1,"","","32GB Flash Storage"
316,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"128GB SSD +  1TB HDD","AMD Radeon 530","Windows 10",2.33,44968.32,1.6,"128GB SSD","1TB HDD",""
317,"HP","2 in 1 Convertible",13.3,"IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 8550U 1.8GHz",16,"1TB SSD","Intel UHD Graphics 620","Windows 10",1.29,130482.72,1.8,"1TB SSD","",""
318,"Lenovo","Notebook",13.3,"1366x768","Intel Celeron Dual Core 3855U 1.6GHz",4,"16GB Flash Storage","Intel HD Graphics 510","Chrome OS",1.45,24503.472,1.6,"","","16GB Flash Storage"
319,"HP","Notebook",14.0,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.95,52214.4,2.5,"256GB SSD","",""
320,"Acer","Notebook",11.6,"1366x768","Intel Pentium Quad Core N3710 1.6GHz",4,"128GB Flash Storage","Intel HD Graphics 405","Windows 10",1.4,25840.8,1.6,"","","128GB Flash Storage"
321,"HP","Notebook",14.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.48,68837.76,2.7,"256GB SSD","",""
322,"Lenovo","Notebook",17.3,"1600x900","Intel Core i5 7200U 2.5GHz",4,"1TB HDD","Nvidia GeForce 920MX","Windows 10",2.79,31381.92,2.5,"","1TB HDD",""
323,"Asus","Notebook",14.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",2.0,58288.32,2.7,"256GB SSD","",""
324,"HP","Notebook",15.6,"IPS Panel Full HD 1366x768","Intel Core i7 8550U 1.8GHz",8,"1TB HDD","Intel UHD Graphics 620","Windows 10",2.1,48058.56,1.8,"","1TB HDD",""
325,"Acer","Notebook",15.6,"1366x768","AMD A12-Series 9720P 2.7GHz",8,"256GB SSD","AMD Radeon RX 540","Windows 10",2.2,35111.52,2.7,"256GB SSD","",""
326,"Lenovo","Notebook",14.0,"1366x768","Intel Celeron Dual Core N3350 1.1GHz",4,"32GB Flash Storage","Intel HD Graphics 500","Windows 10",1.44,15557.76,1.1,"","","32GB Flash Storage"
327,"Acer","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",6,"1TB HDD","Intel HD Graphics 620","Windows 10",8.23,29250.72,2.5,"","1TB HDD",""
328,"Asus","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","Nvidia GeForce 940MX","Windows 10",1.7,55938.672,2.7,"256GB SSD","",""
329,"HP","Ultrabook",12.5,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.26,71128.8,2.7,"256GB SSD","",""
330,"Dell","Notebook",15.6,"4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz",32,"1TB SSD","Nvidia GeForce GTX 1050","Windows 10",2.06,140605.92,2.8,"1TB SSD","",""
331,"MSI","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10",2.7,63882.72,2.8,"256GB SSD","1TB HDD",""
332,"Toshiba","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",2.0,50243.04,2.5,"256GB SSD","",""
333,"Asus","Notebook",14.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD +  1TB HDD","Intel HD Graphics 620","Windows 10",2.0,71075.52,2.7,"256GB SSD","1TB HDD",""
334,"Lenovo","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"1TB HDD","Intel HD Graphics 520","Windows 10",1.85,23922.72,2.0,"","1TB HDD",""
335,"Asus","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"256GB SSD","Nvidia GeForce GTX 1050","Windows 10",2.5,53226.72,2.8,"256GB SSD","",""
336,"HP","Notebook",14.0,"Full HD 1920x1080","Intel Core i5 7300U 2.6GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.48,67559.04,2.6,"256GB SSD","",""
338,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.84,60952.32,2.5,"256GB SSD","",""
339,"Asus","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3350 1.1GHz",4,"1TB HDD","Intel HD Graphics 500","Linux",2.0,14651.4672,1.1,"","1TB HDD",""
340,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","Nvidia GeForce 940MX","Windows 10",2.0,60885.72,1.6,"256GB SSD","",""
341,"Dell","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3060 1.6GHz",4,"500GB HDD","Intel HD Graphics","Linux",2.2,14646.672,1.6,"","500GB HDD",""
342,"Lenovo","Notebook",15.6,"Full HD 1920x1080","AMD A12-Series 9720P 3.6GHz",12,"2TB HDD","AMD Radeon 530","Windows 10",2.2,47898.72,3.6,"","2TB HDD",""
343,"HP","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i3 7100U 2.4GHz",8,"1TB HDD","Nvidia GeForce 930MX ","Windows 10",2.1,38148.48,2.4,"","1TB HDD",""
344,"Lenovo","2 in 1 Convertible",13.9,"IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 8550U 1.8GHz",16,"512GB SSD","Intel UHD Graphics 620","Windows 10",1.4,111834.72,1.8,"512GB SSD","",""
345,"Dell","Ultrabook",13.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.2,84129.12,1.8,"256GB SSD","",""
346,"Lenovo","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  2TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10",2.4,60153.12,2.8,"256GB SSD","2TB HDD",""
347,"HP","Notebook",14.0,"1366x768","Intel Celeron Dual Core N3060 1.6GHz",2,"32GB Flash Storage","Intel HD Graphics 400","Windows 10",1.44,14865.12,1.6,"","","32GB Flash Storage"
348,"Dell","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i7 8650U 1.9GHz",16,"512GB SSD +  256GB SSD","Intel UHD Graphics 620","Windows 10",1.88,85672.1088,1.9,"512GB SSD +  256GB SSD","",""
349,"Asus","2 in 1 Convertible",11.6,"Touchscreen 1366x768","Intel Celeron Dual Core N3350 1.1GHz",4,"32GB Flash Storage","Intel HD Graphics 500","Windows 10",1.5,19980.0,1.1,"","","32GB Flash Storage"
350,"Dell","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"1TB HDD","AMD Radeon 530","Windows 10",0.0002,35324.64,1.6,"","1TB HDD",""
352,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.84,69477.12,2.7,"256GB SSD","",""
353,"MSI","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10",2.7,75071.52,2.8,"128GB SSD","1TB HDD",""
354,"HP","Workstation",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"256GB SSD","Nvidia Quadro M1200","Windows 10",2.6,92615.0256,2.8,"256GB SSD","",""
355,"Toshiba","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 6500U 2.5GHz",16,"512GB SSD","Nvidia GeForce 930M","Windows 10",2.4,74751.84,2.5,"512GB SSD","",""
356,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"128GB SSD +  2TB HDD","AMD Radeon 530","Windows 10",2.02,51729.552,1.8,"128GB SSD","2TB HDD",""
357,"Lenovo","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3350 1.1GHz",4,"1TB HDD","Intel HD Graphics 500","",2.2,17155.6272,1.1,"","1TB HDD",""
358,"Dell","Gaming",15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"1TB HDD","Nvidia GeForce GTX 1050","Windows 10",2.65,53226.72,2.5,"","1TB HDD",""
359,"Dell","Notebook",15.6,"Touchscreen 1366x768","Intel Core i5 7200U 2.5GHz",8,"2TB HDD","Intel HD Graphics 620","Windows 10",2.36,29696.6736,2.5,"","2TB HDD",""
360,"Dell","Notebook",14.0,"Full HD 1920x1080","Intel Core i5 7300U 2.6GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.36,76030.56,2.6,"256GB SSD","",""
361,"HP","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz",4,"500GB HDD","Intel HD Graphics 520","Windows 10",1.86,23389.92,2.0,"","500GB HDD",""
362,"Asus","Notebook",14.0,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",2.0,50349.6,2.5,"256GB SSD","",""
363,"Lenovo","Notebook",17.3,"1600x900","Intel Core i5 7200U 2.5GHz",6,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 940MX","Windows 10",2.8,38308.32,2.5,"128GB SSD","1TB HDD",""
364,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"1TB HDD","Intel HD Graphics 620","Windows 10",1.86,34045.92,2.5,"","1TB HDD",""
365,"Lenovo","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz",8,"256GB SSD","Nvidia GeForce 920MX ","",2.2,26586.72,2.0,"256GB SSD","",""
366,"HP","Notebook",15.6,"1366x768","Intel Pentium Quad Core N3710 1.6GHz",8,"2TB HDD","Intel HD Graphics 405","Windows 10",2.04,20725.92,1.6,"","2TB HDD",""
367,"Dell","Notebook",17.3,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"128GB SSD +  1TB HDD","AMD Radeon 530","Windows 10",2.8,57808.8,1.6,"128GB SSD","1TB HDD",""
368,"Lenovo","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","",2.4,43103.52,2.5,"128GB SSD","1TB HDD",""
369,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","AMD Radeon R7 M445","Windows 10",2.33,47898.72,2.7,"256GB SSD","",""
370,"HP","Ultrabook",14.0,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.36,93240.0,2.7,"256GB SSD","",""
371,"Asus","2 in 1 Convertible",15.6,"Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz",12,"512GB SSD +  2TB HDD","Nvidia GeForce GT 940MX","Windows 10",2.26,58554.72,2.7,"512GB SSD","2TB HDD",""
372,"Acer","Notebook",15.6,"1366x768","AMD A9-Series 9420 3GHz",4,"128GB SSD","AMD Radeon R5","Windows 10",2.1,22697.28,3.0,"128GB SSD","",""
373,"Asus","Gaming",17.3,"IPS Panel Full HD 1920x1080","AMD Ryzen 1700 3GHz",16,"256GB SSD +  1TB HDD","AMD Radeon RX 580","Windows 10",3.25,117162.72,3.0,"256GB SSD","1TB HDD",""
374,"Lenovo","Notebook",17.3,"1600x900","AMD A8-Series 7410 2.2GHz",4,"128GB SSD","AMD Radeon R5","Windows 10",2.6,26053.92,2.2,"128GB SSD","",""
375,"Dell","2 in 1 Convertible",13.3,"Full HD / Touchscreen 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.62,46300.8528,1.8,"256GB SSD","",""
376,"HP","Notebook",15.6,"Full HD 1920x1080","AMD A9-Series 9420 3GHz",4,"256GB SSD","AMD Radeon R5","Windows 10",1.91,26053.3872,3.0,"256GB SSD","",""
377,"Lenovo","Netbook",11.6,"IPS Panel 1366x768","Intel Celeron Quad Core N3450 1.1GHz",4,"128GB SSD","Intel HD Graphics 500","Windows 10",1.59,29463.84,1.1,"128GB SSD","",""
378,"Dell","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3060 1.60GHz",4,"500GB HDD","Intel HD Graphics 400","Windows 10",1.8,16463.52,1.6,"","500GB HDD",""
379,"Asus","Notebook",14.0,"1366x768","Intel Celeron Dual Core N3350 1.1GHz",4,"32GB Flash Storage","Intel HD Graphics 500","Windows 10",1.5,15238.08,1.1,"","","32GB Flash Storage"
380,"Acer","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"1TB HDD","Nvidia GeForce GTX 1050","Linux",2.4,45074.88,2.8,"","1TB HDD",""
381,"HP","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10",3.35,63456.48,2.8,"128GB SSD","1TB HDD",""
382,"Lenovo","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"128GB SSD","Intel HD Graphics 520","",1.85,21498.48,2.0,"128GB SSD","",""
383,"Asus","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10",2.3,88178.4,2.8,"128GB SSD","1TB HDD",""
384,"Lenovo","Notebook",14.0,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Nvidia GeForce 940MX","Windows 10",1.5,58554.72,2.5,"256GB SSD","",""
385,"Asus","Ultrabook",13.3,"Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz",16,"512GB SSD","Intel HD Graphics 620","Windows 10",1.1,93181.392,2.7,"512GB SSD","",""
386,"Lenovo","Ultrabook",14.0,"IPS Panel 2560x1440","Intel Core i7 7500U 2.7GHz",8,"512GB SSD","Intel HD Graphics 620","Windows 10",1.13,121584.96,2.7,"512GB SSD","",""
387,"Lenovo","Notebook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i3 7100U 2.4GHz",4,"128GB SSD","Intel HD Graphics 620","Windows 10",1.5,29250.72,2.4,"128GB SSD","",""
388,"Dell","Workstation",15.6,"Full HD 1920x1080","Intel Core i5 6440HQ 2.6GHz",8,"500GB HDD","AMD FirePro W5130M","Windows 10",2.23,72940.32,2.6,"","500GB HDD",""
389,"Dell","Workstation",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 6820HQ 2.7GHz",8,"256GB SSD","Nvidia Quadro M1200","Windows 10",2.0,113752.8,2.7,"256GB SSD","",""
390,"Lenovo","2 in 1 Convertible",14.0,"Touchscreen 2560x1440","Intel Core i7 7500U 2.7GHz",16,"512GB SSD","Intel HD Graphics 620","Windows 10",1.42,133679.52,2.7,"512GB SSD","",""
391,"Asus","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"1TB HDD","Nvidia GeForce GTX 1050","Windows 10",3.0,55357.92,2.8,"","1TB HDD",""
392,"Asus","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10",3.0,84768.48,2.8,"256GB SSD","1TB HDD",""
393,"Acer","Notebook",15.6,"IPS Panel 1366x768","Intel Core i5 8250U 1.6GHz",12,"1TB HDD","Nvidia GeForce MX130","Windows 10",2.2,36975.7872,1.6,"","1TB HDD",""
394,"MSI","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"256GB SSD","Nvidia GeForce GTX 1050 Ti","Windows 10",2.7,71874.72,2.8,"256GB SSD","",""
395,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","AMD Radeon R7 M445","Linux",2.33,41498.1936,2.7,"256GB SSD","",""
396,"HP","Ultrabook",15.6,"Full HD 1920x1080","AMD A9-Series 9420 3GHz",4,"256GB SSD","AMD Radeon 520","Windows 10",1.91,26586.72,3.0,"256GB SSD","",""
397,"Lenovo","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","AMD Radeon RX 550","Windows 10",2.1,65510.9568,1.8,"256GB SSD","",""
398,"Lenovo","Notebook",14.0,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.9,49976.64,2.5,"256GB SSD","",""
399,"Dell","Workstation",15.6,"4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz",8,"256GB SSD","Nvidia Quadro M1200","Windows 10",1.78,144495.36,2.8,"256GB SSD","",""
400,"Lenovo","Ultrabook",14.0,"IPS Panel 2560x1440","Intel Core i7 7500U 2.7GHz",16,"1TB SSD","Intel HD Graphics 620","Windows 10",1.13,139860.0,2.7,"1TB SSD","",""
401,"Lenovo","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3350 1.1GHz",4,"1TB HDD","Intel HD Graphics 500","Windows 10",2.2,16303.68,1.1,"","1TB HDD",""
402,"Asus","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10",2.9,81465.12,2.8,"256GB SSD","1TB HDD",""
403,"Lenovo","Notebook",25.6,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD +  1TB HDD","AMD Radeon RX 550","Windows 10",2.1,60978.96,1.6,"256GB SSD","1TB HDD",""
404,"Acer","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"256GB SSD","Nvidia GeForce GTX 1050","Linux",2.5,46833.12,2.8,"256GB SSD","",""
405,"MSI","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10",2.8,119826.72,2.8,"256GB SSD","1TB HDD",""
406,"Asus","Ultrabook",14.0,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"512GB SSD","Intel HD Graphics 620","Windows 10",1.1,99793.44,2.7,"512GB SSD","",""
407,"Toshiba","Ultrabook",13.3,"Full HD 1920x1080","Intel Core i7 6500U 2.5GHz",16,"512GB SSD","Intel HD Graphics 520","Windows 10",1.2,93080.16,2.5,"512GB SSD","",""
408,"Dell","Ultrabook",14.0,"Full HD 1920x1080","Intel Core i7 7600U 2.8GHz",8,"512GB SSD","Intel HD Graphics","Windows 10",1.36,89510.4,2.8,"512GB SSD","",""
409,"Lenovo","Notebook",35.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"500GB HDD","Intel HD Graphics 520","Windows 10",2.2,21791.52,2.0,"","500GB HDD",""
410,"Lenovo","Notebook",11.6,"1366x768","Intel Celeron Dual Core N3350 1.1GHz",2,"32GB Flash Storage","Intel HD Graphics 500","Windows 10",1.15,16221.096,1.1,"","","32GB Flash Storage"
411,"Lenovo","Workstation",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"512GB SSD","Nvidia Quadro M1200","Windows 10",2.67,102564.0,2.8,"512GB SSD","",""
412,"Lenovo","Ultrabook",14.0,"IPS Panel Full HD 2560x1440","Intel Core i7 7700HQ 2.8GHz",8,"512GB SSD","Nvidia GeForce GT 940MX","Windows 10",1.7,103523.04,2.8,"512GB SSD","",""
413,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"1TB HDD","AMD Radeon 520","Windows 10",2.1,24988.32,2.0,"","1TB HDD",""
414,"Acer","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 6500U 2.5GHz",8,"256GB SSD","Intel HD Graphics 520","Windows 10",1.6,42038.4528,2.5,"256GB SSD","",""
415,"Asus","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.27,49443.84,2.5,"256GB SSD","",""
416,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4,"256GB SSD","AMD Radeon R5 M430","Linux",2.3,31909.392,2.5,"256GB SSD","",""
417,"Dell","Notebook",13.3,"1366x768","Intel Core i3 6006U 2GHz",4,"128GB SSD","Intel HD Graphics 520","Windows 10",1.65,36709.92,2.0,"128GB SSD","",""
418,"HP","Ultrabook",14.0,"Full HD 1920x1080","Intel Core i7 6500U 2.5GHz",8,"256GB SSD","Intel HD Graphics 520","Windows 10",1.43,79920.0,2.5,"256GB SSD","",""
419,"Dell","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",8,"1TB HDD","Intel HD Graphics 620","Windows 10",2.14,28768.536,2.5,"","1TB HDD",""
420,"Lenovo","Ultrabook",14.0,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","AMD Radeon RX 550","Windows 10",1.75,64755.4464,1.8,"256GB SSD","",""
421,"Lenovo","2 in 1 Convertible",15.6,"IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz",16,"512GB SSD","Nvidia GeForce GTX 1050","Windows 10",2.0,101178.72,2.8,"512GB SSD","",""
422,"Chuwi","Notebook",12.3,"IPS Panel Retina Display 2736x1824","Intel Celeron Quad Core N3450 1.1GHz",6,"64GB Flash Storage","Intel HD Graphics 500","Windows 10",1.4,23922.72,1.1,"","","64GB Flash Storage"
423,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7820HQ 2.9GHz",8,"256GB SSD","Intel HD Graphics 630","Windows 10",2.31,76030.56,2.9,"256GB SSD","",""
424,"Asus","Notebook",35.6,"Full HD 1920x1080","Intel Core i3 7100U 2.4GHz",8,"1TB HDD","Nvidia GeForce 940MX","Linux",2.3,31808.16,2.4,"","1TB HDD",""
425,"Dell","Gaming",27.3,"IPS Panel 2560x1440","Intel Core i7 7820HK 2.9GHz",16,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10",4.42,149130.72,2.9,"256GB SSD","1TB HDD",""
426,"Dell","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10",2.62,61751.52,2.8,"128GB SSD","1TB HDD",""
427,"Dell","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD +  2TB HDD","AMD Radeon 530","Windows 10",2.02,60867.072,1.8,"256GB SSD","2TB HDD",""
428,"Dell","Ultrabook",14.0,"Full HD 1920x1080","Intel Core i7 7600U 2.8GHz",8,"256GB SSD","Intel HD Graphics 620","Linux",1.6,58554.72,2.8,"256GB SSD","",""
429,"HP","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",12,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10",3.35,106506.72,2.8,"256GB SSD","1TB HDD",""
430,"Mediacom","2 in 1 Convertible",11.6,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Celeron Dual Core N3350 1.1GHz",4,"32GB SSD","Intel HD Graphics 500","Windows 10",1.16,15930.72,1.1,"32GB SSD","",""
431,"Samsung","Netbook",11.6,"1366x768","Intel Celeron Dual Core N3060 1.6GHz",4,"16GB Flash Storage","Intel HD Graphics 400","Chrome OS",1.15,14332.32,1.6,"","","16GB Flash Storage"
432,"Lenovo","Notebook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.4,53812.8,2.7,"256GB SSD","",""
433,"Lenovo","Notebook",14.0,"IPS Panel Full HD 1920x1080","Intel Core i3 7130U 2.7GHz",4,"128GB SSD","Intel HD Graphics 620","Windows 10",1.7,31914.72,2.7,"128GB SSD","",""
434,"Lenovo","Workstation",15.6,"IPS Panel 4K Ultra HD 3840x2160","Intel Core i7 7600U 2.8GHz",16,"512GB SSD","Nvidia GeForce 940MX","Windows 10",2.3,130269.6,2.8,"512GB SSD","",""
435,"Lenovo","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7820HQ 2.9GHz",16,"512GB SSD","Nvidia Quadro M2200M","Windows 10",2.5,130482.72,2.9,"512GB SSD","",""
436,"Asus","Gaming",17.3,"Full HD 1920x1080","AMD Ryzen 1600 3.2GHz",8,"256GB SSD +  1TB HDD","AMD Radeon RX 580","Windows 10",3.2,90309.6,3.2,"256GB SSD","1TB HDD",""
